c,h,l,n,o,t,v,vw
60732.1055,60732.1055,60696.4865,0,60696.4865,2024-05-01T00:00:00Z,0.0,0.0
60776.515,60776.515,60776.515,0,60776.515,2024-05-01T00:01:00Z,0.0,0.0
60706.2705,60741.85,60706.2705,0,60741.85,2024-05-01T00:02:00Z,0.0,0.0
60716.355,60729.785,60716.355,0,60729.785,2024-05-01T00:04:00Z,0.0,0.0
60737.4785,60737.4785,60737.4785,0,60737.4785,2024-05-01T00:05:00Z,0.0,0.0
60771.665,60771.665,60771.665,0,60771.665,2024-05-01T00:07:00Z,0.0,0.0
60811.832,60811.832,60811.832,0,60811.832,2024-05-01T00:08:00Z,0.0,0.0
60816.25,60816.25,60816.25,0,60816.25,2024-05-01T00:10:00Z,0.0,0.0
60743.1895,60793.945,60743.1895,0,60793.945,2024-05-01T00:12:00Z,0.0,0.0
60713.931,60713.931,60713.931,0,60713.931,2024-05-01T00:13:00Z,0.0,0.0
60613.3135,60742.61,60613.3135,0,60742.61,2024-05-01T00:14:00Z,0.0,0.0
60710.649,60710.649,60658.08,0,60658.08,2024-05-01T00:15:00Z,0.0,0.0
60645.5005,60685.15,60645.5005,0,60685.15,2024-05-01T00:16:00Z,0.0,0.0
60621.9755,60622.6,60578.405,0,60622.6,2024-05-01T00:17:00Z,0.0,0.0
60587.6505,60587.6505,60587.6505,0,60587.6505,2024-05-01T00:18:00Z,0.0,0.0
60548.4055,60548.4055,60548.4055,0,60548.4055,2024-05-01T00:19:00Z,0.0,0.0
60531.41,60531.41,60531.41,0,60531.41,2024-05-01T00:20:00Z,0.0,0.0
60485.846,60485.846,60485.846,0,60485.846,2024-05-01T00:22:00Z,0.0,0.0
60552.684,60552.684,60523.05,0,60523.05,2024-05-01T00:23:00Z,0.0,0.0
60546.88,60578.175,60546.88,0,60578.175,2024-05-01T00:24:00Z,0.0,0.0
60488.886,60514.17,60488.886,0,60514.17,2024-05-01T00:27:00Z,0.0,0.0
60457.3175,60457.3175,60457.3175,0,60457.3175,2024-05-01T00:28:00Z,0.0,0.0
60418.285,60435.1855,60404.696,0,60435.1855,2024-05-01T00:29:00Z,0.0,0.0
60191.6,60387.271,60191.6,0,60387.271,2024-05-01T00:31:00Z,0.0,0.0
60082.1,60217.5625,60082.1,0,60217.5625,2024-05-01T00:32:00Z,0.0,0.0
60224.493,60224.493,60116.595,0,60116.595,2024-05-01T00:33:00Z,0.0,0.0
60291.795,60291.795,60250.0,0,60250.0,2024-05-01T00:34:00Z,0.0,0.0
60392.975,60393.395,60340.57,0,60340.57,2024-05-01T00:35:00Z,0.0,0.0
60276.5465,60368.3805,60276.5465,0,60368.3805,2024-05-01T00:36:00Z,0.0,0.0
60345.75,60345.75,60313.2995,0,60313.2995,2024-05-01T00:37:00Z,0.0,0.0
60336.945,60365.5,60336.945,0,60365.5,2024-05-01T00:38:00Z,0.0,0.0
60312.736,60319.316,60280.365,0,60319.316,2024-05-01T00:39:00Z,0.0,0.0
60244.1,60273.14,60244.1,0,60273.14,2024-05-01T00:40:00Z,0.0,0.0
60230.2875,60230.2875,60205.1,0,60205.1,2024-05-01T00:41:00Z,0.0,0.0
60316.6095,60316.6095,60277.623,0,60277.623,2024-05-01T00:42:00Z,0.0,0.0
60302.755,60302.755,60262.22,0,60262.22,2024-05-01T00:43:00Z,0.0,0.0
