open_time,open,close,high,low,close,vol,close_time,quote_volume,trade_count,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1745305200000,88246.46000000,88271.23000000,88246.45000000,88252.20000000,9.78109000,1745305259999,863271.40787950,1230,6.03232000,532400.76257270,0
1745305260000,88252.20000000,88258.59000000,88226.75000000,88226.76000000,4.10202000,1745305319999,362000.75844940,837,1.36145000,120146.35550730,0
1745305320000,88226.75000000,88257.60000000,88226.75000000,88231.94000000,4.77554000,1745305379999,421407.40123640,893,2.85301000,251759.22115980,0
1745305380000,88231.94000000,88231.94000000,88192.39000000,88192.40000000,7.25542000,1745305439999,639969.13750530,809,0.90144000,79523.59170660,0
1745305440000,88192.39000000,88238.00000000,88192.39000000,88228.25000000,4.09575000,1745305499999,361357.23883720,813,2.24948000,198453.10725460,0
1745305500000,88228.24000000,88238.00000000,88226.42000000,88226.43000000,5.37318000,1745305559999,474102.26512950,534,1.52426000,134485.36294780,0
1745305560000,88226.43000000,88256.00000000,88226.42000000,88255.99000000,3.61914000,1745305619999,319345.89423420,624,2.90558000,256380.12985700,0
1745305620000,88256.00000000,88256.00000000,88249.48000000,88249.50000000,3.04693000,1745305679999,268897.35893500,588,1.05797000,93365.72581950,0
1745305680000,88249.49000000,88249.50000000,88249.49000000,88249.50000000,4.01376000,1745305739999,354212.27622960,269,0.32472000,28656.37764000,0
1745305740000,88249.49000000,88273.59000000,88249.49000000,88260.01000000,7.62204000,1745305799999,672752.11912000,804,2.03021000,179180.96356940,0
1745305800000,88260.00000000,88260.01000000,88234.78000000,88236.19000000,6.47701000,1745305859999,571582.83274950,1093,2.75960000,243517.92547700,0
1745305860000,88236.18000000,88247.20000000,88236.18000000,88247.19000000,2.31619000,1745305919999,204393.54836750,386,1.59588000,140830.23084920,0
1745305920000,88247.20000000,88250.00000000,88179.27000000,88179.28000000,9.46444000,1745305979999,834948.84677880,1321,3.37906000,298084.08468800,0
1745305980000,88179.28000000,88198.25000000,88172.18000000,88172.19000000,6.12430000,1745306039999,540058.53513380,840,5.01498000,442236.16635100,0
1745306040000,88172.18000000,88173.92000000,88172.18000000,88173.92000000,2.39907000,1745306099999,211534.39549270,274,1.49522000,131838.44032960,0
1745306100000,88173.92000000,88182.86000000,88173.91000000,88182.86000000,2.73450000,1745306159999,241125.04900220,317,2.58000000,227501.57388320,0
1745306160000,88182.85000000,88199.81000000,88173.91000000,88199.81000000,5.62275000,1745306219999,495832.87738220,628,2.68597000,236848.13078790,0
1745306220000,88199.80000000,88208.00000000,88184.82000000,88208.00000000,2.93965000,1745306279999,259268.02712320,613,1.87004000,164934.74191450,0
1745306280000,88208.00000000,88259.99000000,88208.00000000,88247.52000000,2.80448000,1745306339999,247461.54695860,952,2.40123000,211874.72582850,0
1745306340000,88247.53000000,88289.91000000,88247.52000000,88289.90000000,4.09149000,1745306399999,361155.74370320,976,3.55058000,313407.08362160,0
1745306400000,88289.90000000,88312.79000000,88289.90000000,88312.78000000,5.84974000,1745306459999,516559.30517980,665,3.16980000,279892.70682820,0
1745306460000,88312.78000000,88320.76000000,88305.98000000,88305.99000000,7.40622000,1745306519999,654092.48769140,659,4.10888000,362877.05922780,0
1745306520000,88305.98000000,88330.15000000,88305.98000000,88320.76000000,9.58944000,1745306579999,846964.36322630,1148,2.54430000,224703.61760580,0
1745306580000,88320.75000000,88330.20000000,88320.75000000,88320.75000000,10.10506000,1745306639999,892563.83694170,725,5.90533000,521605.97368230,0
1745306640000,88320.75000000,88320.76000000,88311.19000000,88320.74000000,12.85400000,1745306699999,1135224.93027090,590,3.37549000,298094.50922120,0
1745306700000,88320.75000000,88331.07000000,88320.74000000,88320.75000000,3.82676000,1745306759999,338007.67407470,473,1.73332000,153094.70944570,0
1745306760000,88320.76000000,88320.83000000,88311.29000000,88311.29000000,3.49998000,1745306819999,309109.19742590,620,1.16073000,102510.55112610,0
1745306820000,88311.30000000,88321.75000000,88304.06000000,88304.07000000,40.77885000,1745306879999,3601447.65827290,1910,8.10110000,715417.97528060,0
1745306880000,88304.07000000,88311.35000000,88291.72000000,88291.72000000,12.00061000,1745306939999,1059736.77390160,1178,1.90562000,168262.89785040,0
1745306940000,88291.72000000,88300.00000000,88280.49000000,88285.85000000,12.91164000,1745306999999,1139945.26656000,936,1.38999000,122727.56948930,0
1745307000000,88285.85000000,88330.00000000,88285.84000000,88330.00000000,29.42240000,1745307059999,2598215.64373580,1305,7.61980000,672864.35822330,0
1745307060000,88329.99000000,88440.00000000,88326.11000000,88420.83000000,57.78153000,1745307119999,5106304.81856670,3409,31.12506000,2751104.43746680,0
1745307120000,88420.83000000,88478.48000000,88419.09000000,88466.13000000,36.23063000,1745307179999,3204346.80114920,3413,12.70885000,1124079.75794340,0
1745307180000,88466.13000000,88466.14000000,88400.00000000,88408.40000000,27.44517000,1745307239999,2426891.79013010,2400,9.22758000,815914.86380510,0
1745307240000,88408.39000000,88460.00000000,88400.00000000,88446.11000000,18.32946000,1745307299999,1621031.74855440,2307,3.58510000,317032.37336030,0
1745307300000,88446.10000000,88482.63000000,88429.94000000,88440.76000000,25.14814000,1745307359999,2224506.28488000,2865,9.85966000,872126.15214450,0
1745307360000,88440.76000000,88470.69000000,88394.01000000,88394.02000000,33.38521000,1745307419999,2952211.69804260,3476,10.74350000,950026.16553760,0
1745307420000,88394.02000000,88402.40000000,88332.08000000,88332.08000000,26.00536000,1745307479999,2298017.70010990,2546,5.21631000,460969.32801090,0
